,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,vol_price_rule (2nd),eps_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule (1st),shares_outstanding_rule (2nd),inst_ownership_rule (2nd),SMA200_slope_rule (1st),SMA150_greater_SMA200_rule (1st),SMA50_greater_SMA150_rule (1st),close_greater_SMA50_rule (1st),week52_span_rule (1st),close_above_52weekhigh_rule (1st),Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern
0,ZKIN,3.3294608731200728,3.9743711604521823,7.06721113787757,2.6482,0.6711,-1.2309999999999999,0.65,11.22,12.350000381469727,0.75,0.027999999999999997,16559999.999999998,2924934.0,True,False,True,True,False,True,True,True,True,True,True,7,2,False,False,False,False,False,False,False,False
4,FBP,8.522101461023524,9.4179807809683,10.859722269905937,0.4395,0.0362,0.37799999999999995,0.18600000000000003,10.87,12.220000267028809,4.409999847412109,0.932,216990000.0,1480266.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
20,GLUU,9.467463759408481,10.077884619052593,12.14388887087504,0.3429,0.1039,0.99,0.252,12.42,12.8100004196167,5.639999866485596,0.759,172480000.0,845068.0,False,True,True,False,False,False,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
22,EOLS,5.929275352021922,6.567307683137747,11.101388878292507,1.4347,0.35119999999999996,0.654,0.341,16.51,16.510000228881836,2.9200000762939453,0.24,33750000.0,1862600.0,True,True,True,False,True,True,True,True,True,True,True,8,2,False,False,False,False,False,False,False,False
25,ERIC,12.009542734726615,12.353527894386879,13.0557472176022,0.1416,0.0354,0.691,0.048,13.18,13.779999732971191,7.400000095367432,0.1,3330000000.0,3046666.0,True,True,False,False,True,True,True,True,True,True,True,7,2,False,False,False,True,True,False,False,False
29,NAVI,10.457318862279257,10.990673092695383,12.753194464577568,0.41490000000000005,0.1107,0.24100000000000002,0.11,13.25,13.819999694824219,6.039999961853027,0.9808,187000000.0,651255.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,True,True,False,False,False
41,GTEC,6.698306550074668,8.041456278088024,11.474285670689174,1.6424,0.41259999999999997,1.1059999999999999,0.382,14.7,14.9399995803833,1.5,0.011000000000000001,10020000.0,73836.0,False,True,True,True,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
48,CNHI,11.527299289285702,12.64844662934831,14.98457145690918,0.4964,0.055,0.439,0.105,15.18,15.729999542236328,5.409999847412109,0.4968,1350000000.0,1795298.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
56,ABR,13.804124101235049,14.512281556731288,16.050142914908275,0.27949999999999997,0.0352,1.0490000000000002,0.41600000000000004,16.01,16.969999313354492,4.059999942779541,0.455,119920000.0,663156.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,False,False,False,False,False
62,VALE,14.760364977982793,15.98038835432923,17.448571395874023,0.22460000000000002,-0.049699999999999994,1.7530000000000001,0.924,16.69,18.940000534057617,7.579999923706055,0.23399999999999999,5130000000.0,17926915.0,True,True,True,False,True,True,True,True,False,True,True,7,2,False,False,False,False,False,False,False,True
71,SBSW,14.95153283028707,15.936310675537701,18.41685711996896,0.2924,-0.011399999999999999,59.883,1.301,17.29,20.040000915527344,4.599999904632568,0.126,668400000.0,1499666.0,True,True,True,False,True,True,True,True,False,True,True,7,2,False,False,False,False,False,False,False,False
83,INFY,16.187554749259114,16.85645626586618,18.141285596575056,0.2547,0.0196,0.207,0.086,18.66,19.329999923706055,7.559999942779541,0.177,4240000000.0,3046839.0,True,True,False,False,True,True,True,True,True,True,True,7,2,False,False,False,False,False,False,False,False
90,REKR,9.295547480130718,10.322330148474684,16.887142971583774,1.4985,0.258,0.298,0.867,17.55,21.530000686645508,2.990000009536743,0.124,40800000.0,672463.0,False,True,True,False,True,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
