,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,vol_price_rule (2nd),vol_price_rule_score,vol_price_rule_nvalue,eps_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,shares_outstanding_rule (2nd),shares_outstanding_rule_score,shares_outstanding_rule_nvalue,inst_ownership_rule (2nd),inst_ownership_rule_score,inst_ownership_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,Lwowski Rating,N-Value Rating
1165,MARA,16.009927537130274,20.71271844743525,37.84222226672702,3.1866000000000003,0.46590000000000004,0.579,7.667000000000001,44.14,47.900001525878906,0.4000000059604645,0.109,98800000.0,23258561.0,165.36134666806635,True,42076.504747024985,256.0,True,1079.0750747093332,16.0,True,567.4666666666666,256.0,True,7595.008000000001,256.0,False,0.0,0.0,True,16.0,16.0,True,4.607380343553456,256.0,True,75.19799638355337,256.0,True,211.7130587598792,256.0,True,42.60402807092663,256.0,True,18137.600311851496,256.0,True,58.539725540371634,256.0,9,2,False,False,False,False,False,False,False,False,69864.31698935076,2336.0
508,VUZI,9.884021702020064,11.751990248856035,19.872638834847344,2.1316,0.39899999999999997,0.6859999999999999,1.1,22.02,28.809999465942383,1.2300000190734863,0.255,55700000.0,5642759.0,22.066625581572143,True,5393.056148882469,256.0,True,116.537123392,16.0,True,719.6444444444445,256.0,True,870.4000000000001,256.0,False,0.0,0.0,True,16.0,16.0,True,2.7342550892717616,256.0,True,48.38111068617704,256.0,True,176.89650808007931,256.0,True,27.662378552118582,256.0,True,3341.736462884043,256.0,True,4.887196783366696,256.0,9,2,False,False,False,False,False,False,False,False,10717.93562879397,2336.0
2463,UI,260.62445654385334,289.2306311153671,338.91986083984375,0.26030000000000003,-0.0933,0.925,0.555,349.0,389.8800048828125,134.33999633789062,0.075,62820000.0,498016.0,5.009792306623063,True,1026.5068304955041,256.0,True,169.39475626666666,16.0,True,1059.5555555555557,256.0,True,312.32000000000005,256.0,False,0.0,0.0,True,16.0,16.0,True,0.6977968838351161,256.0,True,28.098593614046738,256.0,True,43.98027539618426,256.0,True,7.613940412360255,256.0,True,189.77616780170524,256.0,True,49.54358223407539,256.0,9,2,False,False,False,False,False,False,False,False,2903.487498659934,2336.0
1580,YETI,63.26947394661281,68.15968356086212,71.15076107449002,0.2492,0.0231,12.158,0.263,71.42,78.04000091552734,16.93000030517578,0.987,87110000.0,279635.0,3.2035240868764054,True,564.1021662403598,256.0,True,5.302967146666666,16.0,True,17035.37777777778,256.0,True,13.312000000000012,256.0,False,0.0,0.0,False,0.0,0.0,True,0.28138146966715066,256.0,True,19.78669306313782,256.0,True,11.234146103466111,256.0,True,0.9687199952562027,256.0,True,452.0297651831933,256.0,True,56.378605595534495,256.0,9,1,False,False,False,False,False,False,False,False,18158.774222575066,2320.0
1308,LPX,38.46612023616183,41.15169506628536,49.454016579522026,0.5550999999999999,0.1891,6.374,0.601,54.49,56.04999923706055,13.859999656677246,0.956,108000000.0,836740.0,1.971785468943977,True,248.77708004965814,256.0,True,32.63356010666667,16.0,True,8809.244444444445,256.0,True,359.424,256.0,False,0.0,0.0,False,0.0,0.0,True,0.7522681477971673,256.0,True,17.87305692101754,256.0,True,51.647794919871295,256.0,True,26.068898844026354,256.0,True,365.1601800916972,256.0,True,75.83324864410368,256.0,9,1,False,False,False,False,False,False,False,False,9987.414532169281,2320.0
1540,HIBB,51.60373170825019,54.17752404814785,66.54291619194879,0.6079,0.09720000000000001,2.989,2.785,70.87,76.04000091552734,9.710000038146973,0.95,16540000.0,200566.0,1.804813435595465,True,206.03223951243905,256.0,False,0.0,0.0,True,3995.022222222222,256.0,True,2595.84,256.0,True,5.4144,16.0,False,0.0,0.0,True,0.7238206746002419,256.0,True,12.768278905466472,256.0,True,58.429033892353736,256.0,True,16.646902754693794,256.0,True,946.8572703130419,256.0,True,62.12589481957364,256.0,9,1,False,False,False,False,False,False,False,False,7899.860063094391,2320.0
2551,UHAL,454.3463037463202,485.77698939054915,573.6452763875326,0.48719999999999997,0.1304,4.916,0.261,612.0,619.4099731445312,250.97000122070312,0.36700000000000005,19610000.0,23693.0,2.595111196424645,True,408.34846628470916,256.0,False,0.0,0.0,True,6735.644444444446,256.0,True,11.26400000000001,256.0,True,3.4496,16.0,False,0.0,0.0,True,0.7349633798151898,256.0,True,17.709521258513774,256.0,True,46.3057780885193,256.0,True,17.11651720837748,256.0,True,123.09459860635948,256.0,True,81.24997829709926,256.0,9,1,False,False,False,False,False,False,False,False,7444.91786756784,2320.0
2421,LH,213.81753606381625,221.10165005285762,241.47999869452582,0.2723,0.0929,3.1189999999999998,0.52,253.54,258.8599853515625,113.30999755859375,0.9390000000000001,97300000.0,279488.0,6.601942545212712,True,1434.0972915744542,256.0,True,59.58548002133333,16.0,True,4179.911111111111,256.0,True,276.48,256.0,False,0.0,0.0,False,0.0,0.0,True,0.2645764840564792,256.0,True,8.721142407318926,256.0,True,23.59483636155538,256.0,True,12.785159644244178,256.0,True,94.90366787307747,256.0,True,78.31838920874357,256.0,9,1,False,False,False,False,False,False,False,False,6168.661654685894,2320.0
2162,SNBR,89.80514509781547,101.48407789804403,134.8719450632731,0.9295,0.1604,1.6669999999999998,0.287,146.14,146.97000122070312,15.550000190734863,0.9925,26910000.0,338898.0,8.948319661641243,True,2034.7698333801582,256.0,True,36.828323968,16.0,True,2114.8444444444444,256.0,True,37.88799999999998,256.0,False,0.0,0.0,False,0.0,0.0,True,1.372245206565725,256.0,True,33.2921548492798,256.0,True,84.22300494157989,256.0,True,21.38785840486549,256.0,True,1195.7422450548002,256.0,True,83.4056808805862,256.0,9,1,False,False,False,False,False,False,False,False,5643.75379113028,2320.0
1896,DLB,86.75536213750425,93.13232977413436,97.34583282470703,0.2394,0.0466,1.7519999999999998,0.336,98.5,100.80999755859375,51.849998474121094,0.955,100720000.0,196190.0,1.7038551818279888,True,180.18692654796513,256.0,True,4.613029333333333,16.0,True,2235.733333333333,256.0,True,88.06400000000002,256.0,False,0.0,0.0,False,0.0,0.0,True,0.3287408454575766,256.0,True,18.817323503184124,256.0,True,11.581980001601748,256.0,True,3.0352279938582902,256.0,True,42.6386900807421,256.0,True,77.51189512519947,256.0,9,1,False,False,False,False,False,False,False,False,2662.5111467646743,2320.0
